title,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,season,episode
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"(squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.","I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",(squatting and reading the instructions),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,Joey and Chandler are finishing assembling the bookcase.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,I'm thinking we've got a bookcase here.,I'm thinking we've got a bookcase here.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,It's a beautiful thing.,It's a beautiful thing.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,(picking up a leftover part) What's this?,What's this?,(picking up a leftover part),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,I would have to say that is an 'L'-shaped bracket.,I would have to say that is an 'L'-shaped bracket.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Which goes where?,Which goes where?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,I have no idea.,I have no idea.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,Joey checks that Ross is not looking and dumps it in a plant.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Done with the bookcase!,Done with the bookcase!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,All finished!,All finished!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"(clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.","This was Carol's favorite beer. She always drank it out of the can, I should have known.",(clutching a beer can and sniffing),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Yes, please don't spoil all this fun.","Yes, please don't spoil all this fun.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,You guys.,You guys.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Oh, God.","Oh, God.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,You got screwed.,You got screwed.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,Oh my God!,Oh my God!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Scene: A Restaurant, Monica and Paul are eating.",1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,Oh my God!,Oh my God!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PAUL,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?","I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"My brother's going through that right now, he's such a mess. How did you get through it?","My brother's going through that right now, he's such a mess. How did you get through it?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PAUL,"Well, you might try accidentally breaking something valuable of hers, say her-","Well, you might try accidentally breaking something valuable of hers, say her-",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,-leg?,-leg?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PAUL,"(laughing) That's one way! Me, I- I went for the watch.","That's one way! Me, I- I went for the watch.",(laughing),,,,1,1
