year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
1998,4,24,The One with Ross's Wedding,Kevin Bright,9.2,4217,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,0.4117647058823529,0.23529411764705882
1998,5,1,The One After Ross Says Rachel,Kevin Bright,8.9,3609,['Seth Kurland'],0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333
1998,5,2,The One with All the Kissing,Gary Halvorson,9.0,3674,['Wil Calhoun'],0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.0
1998,5,3,The One Hundredth,Kevin Bright,8.8,3331,"['David Crane', 'Marta Kauffman']",0.0,0.0,0.06666666666666667,0.8,0.0,0.13333333333333333,0.0,0.0,0.0
1998,5,4,The One Where Phoebe Hates PBS,Shelley Jensen,8.3,2995,['Michael Curtis'],0.08333333333333333,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.0
1998,5,5,The One with the Kips,Dana De Vally Piazza,8.8,3215,['Scott Silveri'],0.23076923076923078,0.0,0.0,0.0,0.0,0.6153846153846154,0.15384615384615385,0.0,0.0
1998,5,6,The One with the Yeti,Gary Halvorson,8.1,3001,['Alexa Junge'],0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
1998,5,7,The One Where Ross Moves In,Gary Halvorson,8.4,3029,"['Perry Rein', 'Gigi McCreery']",0.25,0.0,0.0,0.0,0.0625,0.5,0.0625,0.125,0.0
1998,5,8,The One with All the Thanksgivings,Kevin Bright,9.2,4261,['Greg Malins'],0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.0,0.0
1998,5,9,The One with Ross's Sandwich,Gary Halvorson,9.1,3913,"['Andrew Reich', 'Ted Cohen']",0.25,0.0,0.08333333333333333,0.0,0.4166666666666667,0.25,0.0,0.0,0.0
1998,5,10,The One with the Inappropriate Sister,Dana De Vally Piazza,8.2,2980,['Shana Goldberg-Meehan'],0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.5294117647058824,0.11764705882352941,0.17647058823529413,0.0
1999,5,11,The One with All the Resolutions,Joe Regalbuto,9.1,3781,"['Suzie Villandry', 'Brian Boyle']",0.2727272727272727,0.0,0.0,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0.0
1999,5,12,The One with Chandler's Work Laugh,Kevin Bright,8.3,2949,['Alicia Sky Varinaitis'],0.21428571428571427,0.07142857142857142,0.0,0.0,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.0,0.0
1999,5,13,The One with Joey's Bag,Gail Mancuso,8.1,2959,"['Seth Kurland', 'Michael Curtis']",0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0
1999,5,14,The One Where Everybody Finds Out,Michael Lembeck,9.7,8066,['Alexa Junge'],0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0
1999,5,15,The One with the Girl Who Hits Joey,Kevin Bright,8.5,3125,['Adam Chase'],0.38461538461538464,0.0,0.07692307692307693,0.0,0.0,0.46153846153846156,0.0,0.07692307692307693,0.0
1999,5,16,The One with the Cop,Andrew Tsao,8.6,3174,"['Alicia Sky Varinaitis', 'Perry Rein', 'Gigi McCreery']",0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.0,0.46153846153846156,0.0,0.0,0.0
1999,5,17,The One with Rachel's Inadvertent Kiss,Shelley Jensen,8.5,2977,"['Andrew Reich', 'Ted Cohen']",0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.0
1999,5,18,The One Where Rachel Smokes,Todd Holland,8.0,2898,['Michael Curtis'],0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
1999,5,19,The One Where Ross Can't Flirt,Gail Mancuso,8.7,3242,['Doty Abrams'],0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
1999,5,20,The One with the Ride Along,Gary Halvorson,8.3,2888,"['Seth Kurland', 'Shana Goldberg-Meehan']",0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
1999,5,21,The One with the Ball,Gary Halvorson,8.5,3010,"['Greg Malins', 'Scott Silveri']",0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666
1999,5,22,The One with Joey's Big Break,Gary Halvorson,8.3,2857,"['Shana Goldberg-Meehan', 'Wil Calhoun']",0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.0,0.0
1999,5,23,The One in Vegas: Part 1,Kevin Bright,8.8,3282,"['Andrew Reich', 'Ted Cohen']",0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.3076923076923077
1999,5,24,The One in Vegas: Part 2,Kevin Bright,9.1,3726,"['Greg Malins', 'Scott Silveri']",0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.6153846153846154,0.0
1999,6,1,The One After Vegas,Kevin Bright,8.7,3175,['Adam Chase'],0.15384615384615385,0.0,0.15384615384615385,0.0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0
