episode_number,title,writers,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,content,season,episode
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.","Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",(to the waitress that brought her coffee) | (to Monica),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,Who wasn't invited to the wedding.,Who wasn't invited to the wedding.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"Ooh, I was kinda hoping that wouldn't be an issue... [Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.]","Ooh, I was kinda hoping that wouldn't be an issue...",,"Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.",,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.","Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,(imitating the characters) Tuna or egg salad?  Decide!,Tuna or egg salad?  Decide!,(imitating the characters),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,(in a deep voice) I'll have whatever Christine is having.,I'll have whatever Christine is having.,(in a deep voice),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"(on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",(on phone),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,"The scene on TV has changed to show two women, one is holding her hair.",,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"If I let go of my hair, my head will fall off.","If I let go of my hair, my head will fall off.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"(re TV) Ooh, she should not be wearing those pants.","Ooh, she should not be wearing those pants.",(re TV),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,I say push her down the stairs.,I say push her down the stairs.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,"Phoebe, Ross, Chandler, and Joey",Push her down the stairs! Push her down the stairs! Push her down the stairs!,Push her down the stairs! Push her down the stairs! Push her down the stairs!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,She is pushed down the stairs and everyone cheers.,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!","C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,You can see where he'd have trouble.,You can see where he'd have trouble.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.","Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Well, I guess we've established who's staying here with Monica...","Well, I guess we've established who's staying here with Monica...",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!","Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,scene_note,,,,,,,"Time Lapse, Rachel is breating into a paper bag.",,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Just breathe, breathe.. that's it. Just try to think of nice calm things...","Just breathe, breathe.. that's it. Just try to think of nice calm things...",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"(sings) Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...","Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...",(sings) | (Rachel and Monica turn to look at her.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,I'm all better now.,I'm all better now.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,(grins and walks to the kitchen and says to Chandler and Joey.) I helped!,I helped!,(grins and walks to the kitchen and says to Chandler and Joey.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"(comforting her) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",(comforting her),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Joey, stop hitting on her! It's her wedding day!","Joey, stop hitting on her! It's her wedding day!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"What, like there's a rule or something?","What, like there's a rule or something?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,The door buzzer sounds and Chandler gets it.,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"Please don't do that again, it's a horrible sound.","Please don't do that again, it's a horrible sound.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Paul,"(over the intercom) It's, uh, it's Paul.","It's, uh, it's Paul.",(over the intercom),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Oh God, is it 6:30?  Buzz him in!","Oh God, is it 6:30?  Buzz him in!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,Who's Paul?,Who's Paul?,,,,,,01,01
